Rank,Name,Overall %,EV,Win %,Tie %,Occurrence %,Cumulative %
142,Q4o,7.1514,-0.2848,5.9655,2.6948,0.9048,75.5655
143,J6o,7.0231,-0.2976,5.7635,2.8822,0.9049,76.4705
144,Q3o,6.9687,-0.3031,5.8856,2.4599,0.905,77.3755
145,43o,6.866,-0.3133,6.0632,1.834,0.905,78.2806
146,74o,6.8184,-0.3181,5.8587,2.1898,0.9049,79.1855
147,Q2o,6.8041,-0.3195,5.8166,2.2402,0.905,80.0905
148,J5o,6.7535,-0.3246,5.4764,2.9244,0.9048,80.9953
149,95o,6.5649,-0.3435,5.458,2.5361,0.905,81.9004
150,J4o,6.5369,-0.3463,5.3539,2.7075,0.9049,82.8053
151,63o,6.4789,-0.3521,5.6379,1.9201,0.905,83.7103
152,J3o,6.3626,-0.3637,5.281,2.4752,0.905,84.6153
153,T5o,6.3551,-0.3644,5.0496,3.0015,0.905,85.5204
154,52o,6.2799,-0.372,5.4638,1.8725,0.9049,86.4253
155,J2o,6.2037,-0.3796,5.219,2.2526,0.905,87.3303
156,T4o,6.1178,-0.3882,4.8994,2.8005,0.9049,88.2353
157,84o,6.1001,-0.3899,5.1115,2.2666,0.9049,89.1403
158,42o,6.0277,-0.3972,5.3188,1.6284,0.9048,90.0452
159,T3o,5.9409,-0.4059,4.8251,2.5658,0.9049,90.9501
160,T2o,5.7872,-0.4212,4.7687,2.3425,0.9049,91.8551
161,73o,5.7183,-0.4281,4.8509,1.9924,0.905,92.7601
162,94o,5.589,-0.441,4.5376,2.4226,0.9049,93.665
163,32o,5.5703,-0.4429,4.9726,1.3778,0.905,94.5701
164,62o,5.3982,-0.4601,4.6444,1.7349,0.9049,95.475
165,93o,5.3818,-0.4618,4.4254,2.2055,0.9049,96.38
166,92o,5.2261,-0.4773,4.3678,1.9805,0.905,97.285
167,83o,5.1471,-0.4852,4.2181,2.1452,0.9049,98.1899
168,82o,4.9533,-0.5046,4.1167,1.9343,0.905,99.095
169,72o,4.7883,-0.5211,3.9754,1.882,0.9049,100
